task,family,category,algorithm,B,b,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,bothDecisive,pairStatusAgreement,pairObjectiveAgreement
moreDetailedTest/0056.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,2.7339784409996355,True,True,True
moreDetailedTest/0057.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.19588065399876,False,,
moreDetailedTest/0057.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.1989959309999,False,,
moreDetailedTest/0058.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,15.11368430100083,True,True,True
moreDetailedTest/0058.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,8.371571551999978,True,True,True
moreDetailedTest/0059.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.1949751320003,False,,
moreDetailedTest/0059.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.22319670699994,False,,
moreDetailedTest/0060.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.24001207200035,False,,
moreDetailedTest/0060.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.19027860699998,False,,
moreDetailedTest/0061.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.23746587099959,False,,
