batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0081.trace,18,2,MIN_EXPANDED_SIZE,atlas_only,SAT,TIMEOUT,0,5,,,171.713683304999,180.3565002080004,PASSED,IN_PROGRESS
b2,5to10Traces/0082.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.27809523299948,180.26860892500008,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0083.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.38079707700035,180.36494387699895,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0084.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.29360266599906,180.26188067900148,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0085.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,5,180.45334799500006,151.081310182999,IN_PROGRESS,PASSED
b2,5to10Traces/0086.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.28545304900013,180.33835083300073,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0087.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.55027384099958,180.37871248599913,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0088.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,1.1428172060004727,1.140705945000036,PASSED,PASSED
b2,5to10Traces/0090.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,2.135918590000074,1.763678195000466,PASSED,PASSED
b2,5to10Traces/0091.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.0647630370003753,2.0097695920012484,PASSED,PASSED
b2,5to10Traces/0092.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.0695874859998185,2.3647131670004455,PASSED,PASSED
b2,5to10Traces/0093.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,4.733798696999656,2.401995338999768,PASSED,PASSED
b2,5to10Traces/0094.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.7817514330000677,2.960348018001241,PASSED,PASSED
b2,5to10Traces/0095.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,9.335372106999785,3.1797265680002056,PASSED,PASSED
b2,5to10Traces/0096.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,4.504125219000343,3.609374875999947,PASSED,PASSED
b2,5to10Traces/0097.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,9.566422734998923,3.570265490001475,PASSED,PASSED
b2,5to10Traces/0098.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,6.208065143000113,3.768558715000836,PASSED,PASSED
b2,5to10Traces/0099.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,11.661113596999712,4.266004777000489,PASSED,PASSED
b2,5to10Traces/0100.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,6.808529966000151,4.119439955000416,PASSED,PASSED
b2,5to10Traces/0101.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,12.438389658999768,4.766937372998655,PASSED,PASSED
b2,5to10Traces/0102.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,8.810729520000677,6.428128903000015,PASSED,PASSED
